county_state,latitude,longitude,deaths_per_100K,cluster_num,Reg_Avg_Deaths_per_100K
"Bennington County, Vermont",43.029419,-73.107956,2.81928390188892,135,31.101936385276414
"Caledonia County, Vermont",44.458221,-72.09562700000002,0.0,192,1.0524337934044097
"Chittenden County, Vermont",44.475681,-73.127274,23.813303698999842,72,6.909390428188658
"Essex County, Vermont",44.720894,-71.745018,0.0,192,1.0524337934044097
"Franklin County, Vermont",44.865131,-72.962906,12.145257277033318,72,6.909390428188658
"Grand Isle County, Vermont",44.816036,-73.29988900000002,0.0,72,6.909390428188658
"Lamoille County, Vermont",44.600075,-72.63314799999998,3.9429067108272218,192,1.0524337934044097
"Orange County, Vermont",43.995815,-72.374886,0.0,192,1.0524337934044097
"Orleans County, Vermont",44.844402,-72.218239,0.0,192,1.0524337934044097
"Rutland County, Vermont",43.595081,-73.053062,1.7184788025639703,135,31.101936385276414
"Washington County, Vermont",44.249287,-72.580894,3.4241298430036466,192,1.0524337934044097
"Windham County, Vermont",42.99868,-72.668716,7.105300554213444,135,31.101936385276414
"Windsor County, Vermont",43.55827,-72.53299,3.632269078493335,244,12.056273814912073
"Accomack County, Virginia",37.76,-75.76,46.41663572224285,245,31.359334511390685
"Albemarle County, Virginia",38.03,-78.56,10.061282356169396,79,25.47936516747923
"Alleghany County, Virginia",37.78,-80.01,20.188425302826378,276,5.0550600518263655
"Amelia County, Virginia",37.34,-77.98,7.607455306200076,248,25.76356274477276
"Amherst County, Virginia",37.61,-79.14,0.0,276,5.0550600518263655
"Appomattox County, Virginia",37.358973,-78.826438,0.0,248,25.76356274477276
"Arlington County, Virginia",38.880277777778,-77.108333333333,57.42224774322122,209,43.59326084292035
"Augusta County, Virginia",38.2,-79.1167,5.293946372323248,79,25.47936516747923
"Bath County, Virginia",38.06,-79.74,0.0,276,5.0550600518263655
"Bedford County, Virginia",37.31,-79.53,7.595225135131714,276,5.0550600518263655
"Bland County, Virginia",37.13,-81.13,0.0,53,9.947409171149324
"Botetourt County, Virginia",37.55,-79.8,14.9615488195338,276,5.0550600518263655
"Brunswick County, Virginia",36.76,-77.86,6.161049842893228,219,45.33653351078155
"Buchanan County, Virginia",37.27,-82.04,0.0,292,4.445129956086298
"Buckingham County, Virginia",37.57,-78.53,34.98950314905529,248,25.76356274477276
"Campbell County, Virginia",37.21,-79.09,3.6439828732804957,276,5.0550600518263655
"Caroline County, Virginia",38.03,-77.35,13.018714401952806,26,28.1160717281259
"Carroll County, Virginia",36.73,-80.73,46.99405860830452,53,9.947409171149324
"Charles City County, Virginia",37.35,-77.06,43.08487720809996,26,28.1160717281259
"Charlotte County, Virginia",37.01,-78.66,0.0,248,25.76356274477276
"Chesterfield County, Virginia",37.38,-77.59,20.408047573426455,248,25.76356274477276
"Clarke County, Virginia",39.12,-78.0,0.0,117,14.740868483646938
"Craig County, Virginia",37.49,-80.22,0.0,276,5.0550600518263655
"Culpeper County, Virginia",38.49,-77.96,22.81151981750784,79,25.47936516747923
"Cumberland County, Virginia",37.51,-78.24,0.0,248,25.76356274477276
"Dickenson County, Virginia",37.12,-82.35,0.0,292,4.445129956086298
"Dinwiddie County, Virginia",37.08,-77.63,14.013452914798204,248,25.76356274477276
"Essex County, Virginia",37.94,-76.95,9.12991874372318,26,28.1160717281259
"Fairfax County, Virginia",38.83,-77.28,45.31464046318534,209,43.59326084292035
"Fauquier County, Virginia",38.74,-77.81,11.232484344724945,209,43.59326084292035
"Floyd County, Virginia",36.94,-80.36,6.349609499015811,53,9.947409171149324
"Fluvanna County, Virginia",37.84,-78.28,29.336266960029338,248,25.76356274477276
"Franklin County, Virginia",36.99,-79.88,1.784376003711502,276,5.0550600518263655
"Frederick County, Virginia",39.21,-78.26,7.837604827964574,117,14.740868483646938
"Giles County, Virginia",37.32,-80.7,0.0,53,9.947409171149324
"Gloucester County, Virginia",37.4,-76.52,5.35503909178537,26,28.1160717281259
"Goochland County, Virginia",37.72,-77.93,29.469961689049807,248,25.76356274477276
"Grayson County, Virginia",36.65,-81.23,25.723472668810288,53,9.947409171149324
"Greene County, Virginia",38.3,-78.47,10.091326504869064,79,25.47936516747923
"Greensville County, Virginia",36.67,-77.56,79.39308398023994,219,45.33653351078155
"Halifax County, Virginia",36.77,-78.94,2.9488956385833505,169,17.35588887222629
"Hanover County, Virginia",37.76,-77.49,28.766030102258597,26,28.1160717281259
"Henrico County, Virginia",37.55,-77.4,54.410582253686314,26,28.1160717281259
"Henry County, Virginia",36.67,-79.88,9.88982732361493,169,17.35588887222629
"Highland County, Virginia",38.35,-79.56,0.0,276,5.0550600518263655
"Isle of Wight County, Virginia",36.91,-76.71,24.25287666064836,26,28.1160717281259
"James City County, Virginia",37.31,-76.77,20.908746389974258,26,28.1160717281259
"King and Queen County, Virginia",37.72,-76.9,14.234875444839856,26,28.1160717281259
"King George County, Virginia",38.26,-77.15,14.905351021016546,209,43.59326084292035
"King William County, Virginia",37.7066,-77.08839,11.663167716351762,26,28.1160717281259
"Lancaster County, Virginia",37.71,-76.41,0.0,26,28.1160717281259
"Lee County, Virginia",36.71,-83.13,4.269307945182086,234,7.897217022164763
"Loudoun County, Virginia",39.09,-77.64,26.59973206815335,209,43.59326084292035
"Louisa County, Virginia",37.99,-77.96,5.320422441541858,79,25.47936516747923
"Lunenburg County, Virginia",36.95,-78.24,8.19940964250574,248,25.76356274477276
"Madison County, Virginia",38.41,-78.28,7.540909433677701,79,25.47936516747923
"Mathews County, Virginia",37.42,-76.28,0.0,26,28.1160717281259
"Mecklenburg County, Virginia",36.68,-78.37,104.61960963808154,248,25.76356274477276
"Middlesex County, Virginia",37.61,-76.51,9.45000945000945,26,28.1160717281259
"Montgomery County, Virginia",37.17,-80.39,3.044603440401888,53,9.947409171149324
"Nelson County, Virginia",37.79,-78.88,0.0,79,25.47936516747923
"New Kent County, Virginia",37.51,-77.0,4.330691611450349,26,28.1160717281259
"Northampton County, Virginia",37.3,-75.93,239.11187019641332,26,28.1160717281259
"Northumberland County, Virginia",37.86,-76.38,16.535758577924764,26,28.1160717281259
"Nottoway County, Virginia",37.14,-78.05,59.08613445378151,248,25.76356274477276
"Orange County, Virginia",38.24,-78.01,8.096947450811044,79,25.47936516747923
"Page County, Virginia",38.61,-78.48,100.41000753075056,79,25.47936516747923
"Patrick County, Virginia",36.68,-80.29,17.037710131758292,53,9.947409171149324
"Pittsylvania County, Virginia",36.82,-79.4,3.313782019418763,169,17.35588887222629
"Powhatan County, Virginia",37.55,-77.92,13.489815189531903,248,25.76356274477276
"Prince Edward County, Virginia",37.22,-78.44,39.47022191035874,248,25.76356274477276
"Prince George County, Virginia",37.19,-77.22,5.214715928349803,26,28.1160717281259
"Prince William County, Virginia",38.7,-77.48,36.144450232281244,209,43.59326084292035
"Pulaski County, Virginia",37.06,-80.71,8.816528051253416,53,9.947409171149324
"Rappahannock County, Virginia",38.69,-78.17,27.137042062415198,79,25.47936516747923
"Richmond County, Virginia",37.94,-76.72,44.331153718275516,26,28.1160717281259
"Roanoke County, Virginia",37.27,-80.08,7.432102435606141,276,5.0550600518263655
"Rockbridge County, Virginia",37.81,-79.45,0.0,276,5.0550600518263655
"Rockingham County, Virginia",38.52,-78.88,20.744862595792455,79,25.47936516747923
"Russell County, Virginia",36.94,-82.1,3.7613781689611074,292,4.445129956086298
"Scott County, Virginia",36.72,-82.6,13.910785495687657,292,4.445129956086298
"Shenandoah County, Virginia",38.86,-78.57,96.2949376375642,79,25.47936516747923
"Smyth County, Virginia",36.84,-81.53,9.965453095934096,292,4.445129956086298
"Southampton County, Virginia",36.770833333333,-77.160555555556,68.0619363620895,219,45.33653351078155
"Spotsylvania County, Virginia",38.18,-77.65,24.226406783393898,209,43.59326084292035
